,TimeToRun-fold0,TimeToRun-fold1,TimeToRun-fold2,TimeToRun-fold3,TimeToRun-fold4,rocAUC-fold0,rocAUC-fold1,rocAUC-fold2,rocAUC-fold3,rocAUC-fold4,F1score-fold0,F1score-fold1,F1score-fold2,F1score-fold3,F1score-fold4,Accuracy-fold0,Accuracy-fold1,Accuracy-fold2,Accuracy-fold3,Accuracy-fold4
"('0.05', '1000', 'None', 'ZandXY', 'Balanced')",10859.549592494965,10604.251196146011,12161.958656549454,11072.83609843254,11399.921379089355,0.9343123978931747,0.943939017504235,0.9381058455106692,0.9411316208715429,0.9441036026732108,0.9098712446351931,0.9306059036768515,0.8441558441558442,0.9269897507275718,0.8897479954180986,0.8656,0.8928,0.7888,0.8846,0.846
"('0.05', '1000', 'None', 'ZandXZ', 'Balanced')",10895.474191188812,10746.423632383347,11787.340966939926,11853.059104681015,9775.766331911087,0.9344814343205248,0.9438624505928854,0.940711420795712,0.9419679237104464,0.943312859488393,0.9104537545174676,0.9290439745751718,0.8402191618539908,0.9265636870093694,0.8889525720017195,0.8662,0.8906,0.7842,0.884,0.845
"('0.05', '1000', 'None', 'ZandYX', 'Balanced')",9625.937052726746,11374.572279691696,9479.438274860382,11284.223432064056,9391.856743574142,0.9375224646625635,0.9468112930547712,0.9432049652784698,0.9441014642054955,0.9474886574082179,0.9089443996776794,0.9338015346599038,0.8502713007772402,0.9304403318442884,0.8863669013072835,0.8644,0.8982,0.7958,0.891,0.8418
"('0.05', '1000', 'None', 'ZandYY', 'Balanced')",10777.281090974808,11295.308144807816,9671.642985343933,10157.493785619736,9567.833443641663,0.9374595403880965,0.9468205533596838,0.9418731962525353,0.9439159193645541,0.9474510238089404,0.9102856376558938,0.9327447416255519,0.852463810498611,0.9290798169801728,0.8874856486796785,0.8662,0.8964,0.7982,0.8884,0.8432
"('0.05', '1000', 'None', 'ZandZX', 'Balanced')",11596.899309635162,10502.503554344177,9629.135785579681,10305.312873125076,9239.556103944778,0.93734390832653,0.9458457368718237,0.9446029447376567,0.9443824835762418,0.9462261814324573,0.9096765534827541,0.9314568673442795,0.8473080317740513,0.930827259941184,0.8877726750861079,0.8654,0.8948,0.7924,0.8918,0.8436
"('0.05', '1000', 'None', 'ZandZY', 'Balanced')",11013.20292043686,11179.337031364441,9155.224414348602,9314.770213365555,10001.22511601448,0.9352843573504377,0.9449341614906832,0.9421261246895956,0.9428109818226855,0.9452262654516557,0.9090177133655395,0.9310479158550838,0.8446344339622641,0.9293340111845451,0.888538681948424,0.8644,0.8938,0.7892,0.8888,0.8444
"('0.05', '1000', 'None', 'ZandZZ', 'Balanced')",11452.589455842972,12138.196170806885,9734.371496200562,10641.504093408585,9333.729935884476,0.9374952980938821,0.9449556182947486,0.9428931576672025,0.9436499867709232,0.9447534386607339,0.9109176155391828,0.9303657425484836,0.842058562555457,0.9285350966429298,0.8863995404279764,0.867,0.893,0.7864,0.8876,0.8418
"('0.05', '100000.0', 'None', 'ZandXX', 'Balanced')",9530.756407499313,9434.386914014816,9318.178258895874,9130.178354978561,9800.534626960754,0.9395868916894448,0.9500036137775268,0.9439944502369028,0.945392622115639,0.9491274693767526,0.9157528751002942,0.9368995066216567,0.8748928877463581,0.9322402971692072,0.8897491039426522,0.874,0.9028,0.8248,0.8942,0.8462
"('0.05', '100000.0', 'None', 'ZandXY', 'Balanced')",10232.905699253082,9974.99302649498,10920.998096942902,9702.911634683609,9615.031066656113,0.9336599358590347,0.9493206098249576,0.9314518115197449,0.9421856686876192,0.9460270734362802,0.9180982820615262,0.9375809375809374,0.8737532060416073,0.9333333333333335,0.8929235167977125,0.877,0.9036,0.8228,0.8954,0.8502
"('0.05', '100000.0', 'None', 'ZandXZ', 'Balanced')",9457.97168135643,9720.071033716202,11233.25198173523,9348.789388895035,10521.855801343918,0.9404230183033015,0.9494913608130998,0.9391750638220464,0.944602480311193,0.9479848957986899,0.9152496987548534,0.9358392741412833,0.8758561643835616,0.9315173116089613,0.8915317380713571,0.8734,0.901,0.826,0.8924,0.8486
