,TimeToRun-fold0,TimeToRun-fold1,TimeToRun-fold2,TimeToRun-fold3,TimeToRun-fold4,rocAUC-fold0,rocAUC-fold1,rocAUC-fold2,rocAUC-fold3,rocAUC-fold4,F1score-fold0,F1score-fold1,F1score-fold2,F1score-fold3,F1score-fold4,Accuracy-fold0,Accuracy-fold1,Accuracy-fold2,Accuracy-fold3,Accuracy-fold4
"('0.03', '1000', 'None', 'YandYZ', 'None', '0.0001')",4702.276980400085,4048.6872177124023,3966.368905544281,4206.7580490112305,3896.8773653507233,0.929780689167087,0.9379012987012987,0.9389264883200443,0.9362070266101475,0.9398006819558269,0.9248932429037929,0.9170124481327802,0.8900362824448786,0.9051025274201239,0.9266570793567787,0.8804,0.864,0.8424,0.8408,0.8878
"('0.03', '10000000.0', 'None', 'YandYZ', 'None', '0.0001')",4324.721788644791,4373.598695755005,4032.2049446105957,4270.490728855133,3929.602899312973,0.9345724539352516,0.9481325804630153,0.945398615445909,0.944042468151701,0.949095524577366,0.9360730593607306,0.9246939532583158,0.9209539121114684,0.9181008177712683,0.9363564041368336,0.8992,0.8782,0.882,0.8658,0.904
"('0.03', '1000', 'None', 'YandYZ', 'None', '0.001')",4950.94669008255,4565.8760941028595,4136.360300540924,4083.5165491104126,4042.27747130394,0.9297816179386658,0.9378999435347262,0.9389193861628442,0.9362115301257043,0.93979739995589,0.9247581962065068,0.9170124481327802,0.8898813677599441,0.9051025274201239,0.9265167364016736,0.8802,0.864,0.8422,0.8408,0.8876
"('0.03', '10000000.0', 'None', 'YandYZ', 'None', '0.001')",4289.995761632919,4085.8354167938232,4022.3758993148804,4138.158464670181,4050.157464981079,0.9349012390741636,0.948862563523433,0.9462194873571292,0.9432262059570252,0.9497534561647336,0.9365965001268071,0.9256055363321799,0.9217996786288164,0.9183648566198903,0.9367122197160674,0.9,0.8796,0.8832,0.8662,0.9046
"('0.03', '1000', 'None', 'YandYZ', 'None', '0.01')",4307.581658601761,4629.7227602005005,4404.36169552803,4413.040903091431,4310.986078262329,0.9297618815426152,0.9378879728966685,0.938904952746599,0.9362335973519329,0.9398085587556757,0.9245259324375236,0.9170124481327802,0.8900362824448786,0.9049719804459282,0.9266570793567787,0.8798,0.864,0.8424,0.8406,0.8878
"('0.03', '10000000.0', 'None', 'YandYZ', 'None', '0.01')",4221.229766130447,3912.7818059921265,4211.955049276352,4365.78121137619,4144.319529771805,0.9342380961668668,0.9497481648785997,0.9457757170830479,0.9420796108962559,0.9490762701777355,0.9356026927473644,0.9264724116553007,0.9217391304347826,0.918397263620816,0.9360349622566547,0.8986,0.8814,0.883,0.8664,0.9034
"('0.03', '1000', 'None', 'YandYZ', 'None', '0.1')",4218.88773393631,3987.221393108368,4135.921584367752,4302.753060340881,4110.293370246887,0.9297832432889288,0.937897233201581,0.9389086183761215,0.9361876614932533,0.9398159979555328,0.9247581962065068,0.9170124481327802,0.8900362824448786,0.9049719804459282,0.9266570793567787,0.8802,0.864,0.8424,0.8406,0.8878
"('0.03', '10000000.0', 'None', 'YandYZ', 'None', '0.1')",4293.74293923378,4119.791275501251,4131.146008968353,4288.064361572266,4288.591849088669,0.9371386498076051,0.9473585544889892,0.9462256731069486,0.9427477074291117,0.950007701759852,0.9363267376966008,0.9255134867607028,0.9201663759559909,0.9186089078706527,0.9358821186778177,0.8996,0.8796,0.881,0.8666,0.9034
"('0.03', '1000', 'None', 'YandYZ', 'None', '1')",3959.559213399887,4044.5861575603485,4324.288769006729,4642.925620317459,3992.296701669693,0.9292647565550376,0.937822021456804,0.9389420672455153,0.9356891223211121,0.9400214511515882,0.9241569512348,0.916717473478844,0.890746934225195,0.9051929490233444,0.9271159874608149,0.879,0.8634,0.8432,0.8408,0.8884
"('0.03', '10000000.0', 'None', 'YandYZ', 'None', '1')",4342.6904401779175,4080.606809616089,4252.524661064148,4205.34742474556,4263.726362943649,0.9339522667134768,0.9491934500282326,0.9447410931502901,0.9407161715614252,0.9498182209634902,0.9356962025316455,0.9257836699293769,0.9192462987886945,0.9171943497320995,0.9359723698193412,0.8984,0.8802,0.88,0.864,0.9036
