,TimeToRun-fold0,TimeToRun-fold1,TimeToRun-fold2,TimeToRun-fold3,TimeToRun-fold4,rocAUC-fold0,rocAUC-fold1,rocAUC-fold2,rocAUC-fold3,rocAUC-fold4,F1score-fold0,F1score-fold1,F1score-fold2,F1score-fold3,F1score-fold4,Accuracy-fold0,Accuracy-fold1,Accuracy-fold2,Accuracy-fold3,Accuracy-fold4
"('RBF', '1000', '0.1', 'None')",16.817991256713867,17.85791254043579,18.462656259536743,17.520010232925415,18.30113673210144,0.9823772569681899,0.9838602815880086,0.9820092101121278,0.9828602569945697,0.9824876069453128,0.9661946676872051,0.9632275132275132,0.9570650006646285,0.9533520265103237,0.965894298359802,0.947,0.9444,0.9354,0.9268,0.9476
"('RBF', '1000', '1', 'None')",105.9095549583435,96.43844246864319,95.58414030075073,98.34535598754883,97.28981733322144,0.9762753584241093,0.9848479239430129,0.9841627137900216,0.972420294232991,0.9803856982310243,0.9661577608142493,0.9676567656765677,0.9631983055334923,0.9531991280933454,0.968851818063339,0.9468,0.951,0.9444,0.927,0.9522
"('RBF', '1000', 'auto', 'Balanced')",22.394956350326538,17.25853443145752,18.315718412399292,19.216627597808838,17.217679023742676,0.9834260852153477,0.9845248423911714,0.9830541896874242,0.9833612886472278,0.9839013614197728,0.9638648860958366,0.9493037717993781,0.9424098025867937,0.9603816085861933,0.9554395824969891,0.9448,0.925,0.9154,0.9402,0.9334
"('RBF', '1000', 'auto', 'None')",16.984930992126465,18.01294183731079,16.66140842437744,16.839353561401367,16.90189504623413,0.9789462277350235,0.9840399957012205,0.98261842348063,0.9792143629368183,0.9813779049795549,0.9657281182316219,0.9637949260042283,0.9586097107986203,0.9537284894837476,0.9669270833333334,0.9462,0.9452,0.9376,0.9274,0.9492
"('RBF', '100', '0.01', 'Balanced')",31.5007426738739,33.53334307670593,31.191211223602295,31.01723885536194,32.59487795829773,0.9711015514547853,0.972165402497914,0.9713902638025045,0.972900789991556,0.97203950171265,0.9090656284760845,0.8912421293646251,0.8796296296296298,0.910997732426304,0.8985795454545454,0.8692,0.848,0.8336,0.8744,0.8572
"('RBF', '100', '0.01', 'None')",24.925795793533325,24.854737758636475,27.56406307220459,26.00570297241211,25.14043664932251,0.944606381265334,0.9483628178903716,0.9419187190870573,0.9510185803470168,0.9468035919453889,0.921926706704253,0.9238439486476381,0.9186470514271344,0.9178720274577102,0.9200297103243378,0.8726,0.8778,0.8706,0.866,0.8708
"('RBF', '100', '0.1', 'Balanced')",17.380082368850708,22.456945657730103,17.70465064048767,18.44388699531555,17.286158561706543,0.9819614371192185,0.9813664958597323,0.9800492797985388,0.9825334492176045,0.9821804152514175,0.9605885444035734,0.9474539544962081,0.9427911401005571,0.9593949044585987,0.9558136430383126,0.94,0.9224,0.9158,0.9388,0.9338
"('RBF', '10', '1', 'None')",20.0748393535614,20.28193211555481,18.779799938201904,17.81616449356079,18.454819440841675,0.9772456047383761,0.9844757070718289,0.983754762447491,0.9741828480679477,0.9798471037428954,0.9657978385251114,0.9659540775930324,0.9600848693807188,0.9530971195513638,0.9668271107063874,0.9462,0.9484,0.9398,0.9264,0.949
"('RBF', '100', '0.1', 'None')",29.624987363815308,17.316933155059814,17.368423461914062,18.19265341758728,17.70307445526123,0.9816122859071893,0.9822809961411946,0.9806408544726302,0.9821845598340877,0.9819375768539803,0.9658624229979466,0.9605088788762258,0.9569148936170212,0.9560988096761808,0.9635606454971369,0.9468,0.9404,0.9352,0.9314,0.944
"('RBF', '100', '1', 'Balanced')",32.86950635910034,34.75895357131958,33.146284341812134,34.37065553665161,32.77040696144104,0.9793345553625755,0.9853363604279844,0.9850498496640507,0.9779912627499197,0.9823331141883099,0.9629823413996075,0.9529332434254888,0.9413849509269356,0.9549191195969238,0.954002950248089,0.9434,0.9302,0.914,0.932,0.9314
"('RBF', '100', '1', 'None')",29.588877201080322,29.501078844070435,29.000441312789917,30.091638565063477,28.425453186035156,0.9764419154655428,0.9851478961894101,0.9845760924231406,0.9710156832402372,0.9799399339336052,0.965095541401274,0.9672477548864237,0.9617066383993639,0.9527710226545502,0.9681362986084017,0.9452,0.9504,0.9422,0.9262,0.951
"('RBF', '100', 'auto', 'Balanced')",17.20758032798767,17.806606769561768,18.661664724349976,17.386951208114624,16.801198720932007,0.9826750893669022,0.9827326372272065,0.9811094105600603,0.9830852685653315,0.9828629638034009,0.9625065547981122,0.9485930735930737,0.9425037379366589,0.9603500861954648,0.9560454241816967,0.9428,0.924,0.9154,0.9402,0.9342
"('RBF', '100', 'auto', 'None')",16.752005338668823,16.199938535690308,15.421350717544556,16.549575328826904,15.629668474197388,0.9822031395658657,0.9831079951690334,0.9811270492544713,0.9827165057359182,0.9822331087171584,0.9657289002557544,0.9611663353214048,0.9567646667553545,0.9546789225073408,0.9647364996746909,0.9464,0.9414,0.935,0.929,0.9458
"('RBF', '100000', '0.5', 'None')",369.01435828208923,400.62851786613464,470.4425630569458,390.57631039619446,403.93490624427795,0.9748143759575026,0.985053888432312,0.9836869213151412,0.9630528351016283,0.9809745196822427,0.9653149706707473,0.9676482239535191,0.9623042208654101,0.9466529879456271,0.9683222526398122,0.9456,0.951,0.9432,0.9168,0.9514
"('RBF', '100', 'scale', 'Balanced')",55.95673847198486,53.99836254119873,53.41228628158569,57.651633739471436,50.22788715362549,0.9783459809006956,0.9850612923845415,0.9848255216530803,0.9758820276921012,0.9815660318636266,0.9624099541584807,0.9533315349339089,0.9414654113794515,0.9529380483913853,0.951714862138534,0.9426,0.9308,0.9142,0.9292,0.9282
"('RBF', '100', 'scale', 'None')",20.141130924224854,20.94240379333496,20.89199423789978,22.096778392791748,20.039811611175537,0.9761841758897342,0.9852152048460437,0.9843485984926605,0.9707961920711135,0.980005184140119,0.965253913707522,0.967673835598364,0.9622466551861173,0.9528943652932871,0.9691366063289492,0.9454,0.951,0.943,0.9266,0.9526
"('RBF', '10', '0.01', 'Balanced')",45.97758150100708,46.93127775192261,46.30996346473694,46.71768856048584,46.92092299461365,0.9171980111210618,0.9224817419659826,0.9170445417738556,0.9252893132090404,0.9215360660986834,0.84386453599179,0.8336084021005251,0.8173252279635258,0.8383215521130997,0.8259292837715322,0.787,0.7782,0.7596,0.785,0.7696
"('RBF', '10', '0.01', 'None')",25.43277907371521,25.280659675598145,25.544203519821167,25.2729709148407,24.7777578830719,0.9446785483465605,0.9484702873787967,0.9420616377392079,0.9511009447394547,0.9468894710831712,0.8729854615124535,0.8686502998076706,0.8703117939448712,0.8651838402178846,0.8685222901108849,0.7746,0.7678,0.7704,0.7624,0.7676
"('RBF', '10', '0.1', 'Balanced')",16.834364652633667,17.017578840255737,17.009557485580444,17.021268606185913,16.48091149330139,0.9797141771200111,0.9782963236684834,0.9767680303638819,0.9807567631544545,0.9803206722520246,0.9576013736626602,0.9432884536923705,0.9408243776356958,0.9567430025445294,0.9524192467497655,0.9358,0.9166,0.913,0.9354,0.929
"('RBF', '10', '0.1', 'None')",16.297301530838013,15.528751611709595,16.001089334487915,16.026853561401367,15.710943698883057,0.9798910437444772,0.9801556131268931,0.9788254257709467,0.9807388770531478,0.9804426520195276,0.9633074935400517,0.9571694599627562,0.9548661962455066,0.9594612096878643,0.9605022233847763,0.9432,0.9356,0.9322,0.9374,0.9396
"('RBF', '10', '10', 'Balanced')",864.0113880634308,954.2670164108276,732.1581728458405,893.1378223896027,798.5986294746399,0.9746152864540556,0.9834990584640748,0.9822676848263809,0.9649829883303126,0.9783932125434666,0.9585084033613445,0.9521621621621622,0.9371914426769062,0.9428762541806021,0.947809626825311,0.9368,0.9292,0.9084,0.9146,0.9228
"('RBF', '10', '10', 'None')",648.0736045837402,672.7323522567749,659.139995098114,699.0400049686432,632.9267694950104,0.9739820489540241,0.9853587966468621,0.9836267688444574,0.9683095823573262,0.9810290069680941,0.9636711281070744,0.9684488448844885,0.9626193001060446,0.9512320328542094,0.9688436970408031,0.943,0.9522,0.9436,0.924,0.9522
"('RBF', '10', '1', 'Balanced')",20.772507429122925,19.00632095336914,20.384467840194702,21.2109637260437,19.54365873336792,0.9814216731720137,0.9849937593657191,0.983731696462492,0.9813035037326747,0.9838798355784486,0.9639215686274508,0.9512754757727089,0.9439912996193583,0.9590240021217346,0.9554395824969891,0.9448,0.9278,0.9176,0.9382,0.9334
"('RBF', '10', 'auto', 'Balanced')",17.377683639526367,19.490452527999878,17.267421007156372,16.49781060218811,18.413620233535767,0.98070137697082,0.9795532006500223,0.9782234487898952,0.9816431188414398,0.9811884327304004,0.9592105263157895,0.9468690702087288,0.9425505907917968,0.9585830336929018,0.9538461538461539,0.938,0.9216,0.9154,0.9378,0.931
"('RBF', '10', 'auto', 'None')",15.878952980041504,17.125012397766113,15.93961763381958,15.867817401885986,16.39720368385315,0.9807538412933623,0.981116332019244,0.9796729876511049,0.9814967177900021,0.9812426957887384,0.9644879053010808,0.9591078066914498,0.9554106215892453,0.9567678847143591,0.9626826722338205,0.9448,0.9384,0.933,0.9328,0.9428
"('RBF', '10', 'scale', 'Balanced')",22.17839741706848,23.633681058883667,24.8607656955719,23.972697019577026,22.78269338607788,0.9795382269029258,0.9853451105533466,0.9845453377764752,0.9795495617242731,0.9826010660672916,0.9622937941869599,0.9526762842119455,0.9432421396488363,0.9563718339742739,0.9536193029490616,0.9424,0.9298,0.9166,0.9342,0.9308
"('RBF', '10', 'scale', 'None')",21.33254098892212,20.821369171142578,21.017003774642944,22.35778498649597,22.005592107772827,0.9773516788926866,0.9848427636126709,0.9848216773222471,0.9708920262435478,0.9799699804204534,0.9664292980671415,0.9672823218997362,0.9611354291020029,0.9535240040858018,0.9669442998438313,0.9472,0.9504,0.9414,0.9272,0.9492
"('RBF', '1', '0.01', 'Balanced')",44.66089940071106,45.18644642829895,45.32641673088074,44.49952960014343,49.69288420677185,0.91584195729954,0.9213489372748386,0.9155025128355423,0.9243735889853414,0.9203046085929365,0.0,0.0,0.8703117939448712,0.0,0.0,0.2254,0.2322,0.7704,0.2376,0.2324
"('RBF', '1', '0.01', 'None')",25.77371621131897,24.781885623931885,30.413967609405518,24.52725625038147,25.723581790924072,0.9455780021906719,0.9492701385817931,0.9428284686718695,0.9519091315392469,0.9475099086138344,0.8729854615124535,0.8686502998076706,0.8703117939448712,0.8651838402178846,0.8685222901108849,0.7746,0.7678,0.7704,0.7624,0.7676
"('RBF', '1', '0.1', 'Balanced')",20.248196363449097,19.90476107597351,20.104729652404785,20.249090433120728,20.2675940990448,0.9784722160173805,0.977374868159169,0.9764444281625728,0.9792499143233665,0.9789297889839712,0.9458880257165818,0.9309301045679692,0.9294765840220385,0.9479564032697548,0.9434269434269434,0.9192,0.8996,0.8976,0.9236,0.9166
"('RBF', '1', '0.1', 'None')",19.24132752418518,19.38900065422058,18.937031030654907,19.21502137184143,19.59042739868164,0.9772215490446339,0.9779400365127027,0.9768044384382428,0.9781345723764402,0.9775339727106146,0.9576767808308373,0.950420954162769,0.9459857927891704,0.9553805774278215,0.9538502109704642,0.935,0.9258,0.9194,0.932,0.93
